Target Freq (Hz),Target Duty (%),Avg Freq Error (%),Max Freq Error (%),Avg Duty Error (%)
15,25,FAIL,FAIL,FAIL
15,50,FAIL,FAIL,FAIL
15,75,FAIL,FAIL,FAIL
20,25,0.0,0.0,0.0
20,50,0.0,0.0,0.0
20,75,0.0,0.0,0.0
50,25,0.0,0.0,0.0
50,50,0.0,0.0,0.0
50,75,0.0,0.0,0.0
100,25,0.0,0.0,0.04
100,50,0.0,0.0,0.02
100,75,0.0,0.0,0.0
500,25,0.0,0.0,0.16
500,50,0.0,0.0,0.06
500,75,0.0,0.0,0.01
1000,25,0.1,0.1,0.32
1000,50,0.1,0.1,0.1
1000,75,0.1,0.1,0.04
5000,25,0.5,0.5,1.52
5000,50,0.5,0.5,0.5
5000,75,0.5,0.5,0.17
10000,25,1.01,1.01,3.04
10000,50,1.01,1.01,1.02
10000,75,1.01,1.01,0.33
20000,25,2.04,2.04,2.04
20000,50,2.04,2.04,2.04
20000,75,2.04,2.04,0.68
50000,25,5.26,5.26,15.8
50000,50,5.26,5.26,5.26
50000,75,5.26,5.26,1.76
100000,25,11.11,11.11,11.12
100000,50,11.11,11.11,11.12
100000,75,11.11,11.11,3.71
